284.442383,	 ff980010, 	 ffffff98
285.225586,	 ff980081, 	 ffffff98
286.272461,	 ff980281, 	 ffffff98
286.473633,	 ff980081, 	 ffffff98
288.758789,	 ff980010, 	 ffffff98
289.541992,	 ff980081, 	 ffffff98
290.166016,	 ff980281, 	 ffffff98
290.378906,	 ff980081, 	 ffffff98
293.008789,	 ff980010, 	 ffffff98
293.625000,	 ff980002, 	 ffffff98
294.365234,	 ff980102, 	 ffffff98
294.640625,	 ff980002, 	 ffffff98
295.541992,	 ff980020, 	 ffffff98
299.411133,	 ff980420, 	 ffffff98
299.607422,	 ff980020, 	 ffffff98
301.408203,	 ff980010, 	 ffffff98
302.025391,	 ff980001, 	 ffffff98
302.747070,	 ff980201, 	 ffffff98
302.918945,	 ff980001, 	 ffffff98
305.691406,	 ff980010, 	 ffffff98
306.308594,	 ff980001, 	 ffffff98
307.216797,	 ff980201, 	 ffffff98
307.420898,	 ff980001, 	 ffffff98
309.891602,	 ff980010, 	 ffffff98
310.507812,	 ff980008, 	 ffffff98
311.651367,	 ff980108, 	 ffffff98
311.877930,	 ff980008, 	 ffffff98
314.091797,	 ff980010, 	 ffffff98
314.875000,	 ff980081, 	 ffffff98
315.714844,	 ff980281, 	 ffffff98
315.925781,	 ff980081, 	 ffffff98
318.324219,	 ff980010, 	 ffffff98
319.108398,	 ff980082, 	 ffffff98
320.559570,	 ff980182, 	 ffffff98
320.800781,	 ff980082, 	 ffffff98
322.641602,	 ff980010, 	 ffffff98
323.257812,	 ff980002, 	 ffffff98
324.156250,	 ff980102, 	 ffffff98
324.380859,	 ff980002, 	 ffffff98
326.941406,	 ff980010, 	 ffffff98
327.374023,	 ff980041, 	 ffffff98
328.172852,	 ff980241, 	 ffffff98
328.366211,	 ff980041, 	 ffffff98
331.307617,	 ff980010, 	 ffffff98
331.741211,	 ff980042, 	 ffffff98
332.566406,	 ff980142, 	 ffffff98
332.808594,	 ff980042, 	 ffffff98
335.557617,	 ff980010, 	 ffffff98
335.991211,	 ff980041, 	 ffffff98
337.095703,	 ff980241, 	 ffffff98
337.291016,	 ff980041, 	 ffffff98
339.857422,	 ff980010, 	 ffffff98
340.640625,	 ff980082, 	 ffffff98
341.932617,	 ff980182, 	 ffffff98
342.140625,	 ff980082, 	 ffffff98
344.140625,	 ff980010, 	 ffffff98
344.923828,	 ff980082, 	 ffffff98
346.018555,	 ff980182, 	 ffffff98
346.229492,	 ff980082, 	 ffffff98
348.340820,	 ff980010, 	 ffffff98
348.773438,	 ff980041, 	 ffffff98
349.945312,	 ff980241, 	 ffffff98
350.171875,	 ff980041, 	 ffffff98
352.523438,	 ff980010, 	 ffffff98
352.957031,	 ff980041, 	 ffffff98
354.107422,	 ff980241, 	 ffffff98
354.313477,	 ff980041, 	 ffffff98
356.874023,	 ff980010, 	 ffffff98
357.306641,	 ff980042, 	 ffffff98
358.500977,	 ff980142, 	 ffffff98
358.672852,	 ff980042, 	 ffffff98
361.107422,	 ff980010, 	 ffffff98
361.540039,	 ff980042, 	 ffffff98
362.671875,	 ff980142, 	 ffffff98
362.873047,	 ff980042, 	 ffffff98
363.640625,	 ff980020, 	 ffffff98
368.106445,	 ff980420, 	 ffffff98
368.250977,	 ff980020, 	 ffffff98
370.089844,	 ff980010, 	 ffffff98
370.707031,	 ff980001, 	 ffffff98
371.935547,	 ff980201, 	 ffffff98
372.164062,	 ff980001, 	 ffffff98
374.439453,	 ff980010, 	 ffffff98
375.056641,	 ff980002, 	 ffffff98
375.639648,	 ff980102, 	 ffffff98
375.848633,	 ff980002, 	 ffffff98
378.656250,	 ff980010, 	 ffffff98
379.089844,	 ff980041, 	 ffffff98
379.711914,	 ff980241, 	 ffffff98
379.973633,	 ff980041, 	 ffffff98
382.873047,	 ff980010, 	 ffffff98
383.490234,	 ff980001, 	 ffffff98
383.841797,	 ff980201, 	 ffffff98
384.084961,	 ff980001, 	 ffffff98
387.123047,	 ff980010, 	 ffffff98
387.739258,	 ff980008, 	 ffffff98
388.138672,	 ff980208, 	 ffffff98
388.364258,	 ff980008, 	 ffffff98
391.456055,	 ff980010, 	 ffffff98
392.239258,	 ff980082, 	 ffffff98
393.121094,	 ff980182, 	 ffffff98
393.271484,	 ff980082, 	 ffffff98
395.722656,	 ff980010, 	 ffffff98
396.156250,	 ff980041, 	 ffffff98
397.674805,	 ff980241, 	 ffffff98
397.820312,	 ff980041, 	 ffffff98
399.906250,	 ff980010, 	 ffffff98
400.522461,	 ff980002, 	 ffffff98
401.688477,	 ff980102, 	 ffffff98
401.891602,	 ff980002, 	 ffffff98
404.206055,	 ff980010, 	 ffffff98
404.822266,	 ff980002, 	 ffffff98
406.088867,	 ff980102, 	 ffffff98
406.333008,	 ff980002, 	 ffffff98
408.456055,	 ff980010, 	 ffffff98
409.239258,	 ff980081, 	 ffffff98
410.558594,	 ff980281, 	 ffffff98
410.701172,	 ff980081, 	 ffffff98
412.772461,	 ff980010, 	 ffffff98
413.206055,	 ff980042, 	 ffffff98
414.249023,	 ff980142, 	 ffffff98
414.382812,	 ff980042, 	 ffffff98
417.138672,	 ff980010, 	 ffffff98
417.921875,	 ff980082, 	 ffffff98
418.919922,	 ff980182, 	 ffffff98
419.144531,	 ff980082, 	 ffffff98
421.421875,	 ff980010, 	 ffffff98
421.855469,	 ff980041, 	 ffffff98
423.083008,	 ff980241, 	 ffffff98
423.281250,	 ff980041, 	 ffffff98
425.671875,	 ff980010, 	 ffffff98
426.105469,	 ff980042, 	 ffffff98
427.284180,	 ff980142, 	 ffffff98
427.463867,	 ff980042, 	 ffffff98
429.971680,	 ff980010, 	 ffffff98
430.405273,	 ff980042, 	 ffffff98
431.426758,	 ff980142, 	 ffffff98
431.620117,	 ff980042, 	 ffffff98
432.504883,	 ff980020, 	 ffffff98
436.760742,	 ff980420, 	 ffffff98
436.974609,	 ff980020, 	 ffffff98
438.738281,	 ff980010, 	 ffffff98
439.171875,	 ff980041, 	 ffffff98
440.327148,	 ff980241, 	 ffffff98
440.454102,	 ff980041, 	 ffffff98
443.087891,	 ff980010, 	 ffffff98
443.705078,	 ff980001, 	 ffffff98
445.989258,	 ff980200, 	 ffffff98
447.438477,	 ff980010, 	 ffffff98
448.054688,	 ff980002, 	 ffffff98
449.465820,	 ff980102, 	 ffffff98
449.682617,	 ff980002, 	 ffffff98
451.788086,	 ff980010, 	 ffffff98
452.404297,	 ff980001, 	 ffffff98
453.796875,	 ff980201, 	 ffffff98
454.005859,	 ff980001, 	 ffffff98
456.021484,	 ff980010, 	 ffffff98
456.637695,	 ff980002, 	 ffffff98
457.566406,	 ff980102, 	 ffffff98
457.740234,	 ff980002, 	 ffffff98
460.238281,	 ff980010, 	 ffffff98
461.021484,	 ff980081, 	 ffffff98
461.930664,	 ff980281, 	 ffffff98
462.125977,	 ff980081, 	 ffffff98
464.420898,	 ff980010, 	 ffffff98
465.038086,	 ff980008, 	 ffffff98
466.262695,	 ff980108, 	 ffffff98
466.461914,	 ff980008, 	 ffffff98
468.720703,	 ff980010, 	 ffffff98
469.154297,	 ff980042, 	 ffffff98
470.402344,	 ff980142, 	 ffffff98
470.572266,	 ff980042, 	 ffffff98
472.970703,	 ff980010, 	 ffffff98
473.753906,	 ff980082, 	 ffffff98
474.785156,	 ff980182, 	 ffffff98
474.994141,	 ff980082, 	 ffffff98
477.337891,	 ff980010, 	 ffffff98
477.770508,	 ff980042, 	 ffffff98
478.691406,	 ff980142, 	 ffffff98
478.920898,	 ff980042, 	 ffffff98
481.604492,	 ff980010, 	 ffffff98
482.220703,	 ff980002, 	 ffffff98
483.392578,	 ff980102, 	 ffffff98
483.599609,	 ff980002, 	 ffffff98
